period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2022-08-01,11.16,36.34,20.15,26.92,15.85,10.1,90.14,Gilgelbeles
2022-09-01,11.16,36.34,21.16,27.62,16.59,13.84,87.92,Gilgelbeles
2022-10-01,11.16,36.34,21.81,28.79,16.38,7.18,81.89,Gilgelbeles
2022-11-01,11.16,36.34,21.48,28.62,14.62,0.19,70.3,Gilgelbeles
2022-12-01,11.16,36.34,20.76,29.1,12.9,0.23,63.28,Gilgelbeles
2023-01-01,11.16,36.34,22.42,34.34,14.14,0.27,53.84,Gilgelbeles
2023-02-01,11.16,36.34,25.2,37.06,15.33,0.09,35.22,Gilgelbeles
2023-03-01,11.16,36.34,26.76,37.67,16.19,0.09,23.76,Gilgelbeles
2023-04-01,11.16,36.34,27.69,39.4,17.77,2.31,37.27,Gilgelbeles
2023-05-01,11.16,36.34,26.86,38.07,17.85,3.18,49.41,Gilgelbeles
2023-06-01,11.16,36.34,22.49,30.15,17.52,13.51,82.52,Gilgelbeles
2023-07-01,11.16,36.34,21.36,27.6,16.74,17.17,88.21,Gilgelbeles
2023-08-01,11.16,36.34,21.21,28.54,16.44,17.78,88.67,Gilgelbeles
2023-09-01,11.16,36.34,22.09,28.66,16.96,17.06,87.07,Gilgelbeles
2023-10-01,11.16,36.34,22.66,29.9,16.02,13.68,80.8,Gilgelbeles
2023-11-01,11.16,36.34,21.96,28.72,14.01,4.3,78.15,Gilgelbeles
2023-12-01,11.16,36.34,21.19,28.99,13.66,0.07,68.93,Gilgelbeles
2024-01-01,11.16,36.34,21.34,30.94,13.02,0.09,60.62,Gilgelbeles
2024-02-01,11.16,36.34,24.41,37.11,15.24,0.33,46.59,Gilgelbeles
2024-03-01,11.16,36.34,27.46,38.42,15.62,0.35,34.74,Gilgelbeles
2024-04-01,11.16,36.34,28.92,40.02,19.2,1.07,27.18,Gilgelbeles
2024-05-01,11.16,36.34,27.32,39.3,18.46,3.35,49.48,Gilgelbeles
2024-06-01,11.16,36.34,23.43,34.9,17.97,17.77,79.49,Gilgelbeles
2024-07-01,11.16,36.34,21.05,27.14,17.24,17.36,87.75,Gilgelbeles
2024-08-01,11.16,36.34,20.54,26.03,16.69,13.4,89.7,Gilgelbeles
2024-09-01,11.16,36.34,21.93,28.48,16.95,11.78,85.5,Gilgelbeles
2024-10-01,11.16,36.34,22.39,29.47,17.08,8.48,83.45,Gilgelbeles
2024-11-01,11.16,36.34,21.75,29.17,14.35,2.02,75.5,Gilgelbeles
2024-12-01,11.16,36.34,20.72,29.05,11.91,0.02,61.69,Gilgelbeles
2025-01-01,11.16,36.34,22.07,32.76,12.48,0.0,52.64,Gilgelbeles
2025-02-01,11.16,36.34,26.35,37.54,15.77,0.07,39.36,Gilgelbeles
2025-03-01,11.16,36.34,27.91,39.6,18.16,0.29,27.97,Gilgelbeles
2025-04-01,11.16,36.34,28.4,39.68,19.25,1.3,40.31,Gilgelbeles
2025-05-01,11.16,36.34,25.83,38.53,17.88,6.29,59.57,Gilgelbeles
2025-06-01,11.16,36.34,24.03,33.64,17.99,6.64,70.21,Gilgelbeles
2025-07-01,11.16,36.34,20.95,27.81,16.34,21.47,86.7,Gilgelbeles
2025-08-01,11.16,36.34,20.24,26.16,16.25,21.48,89.95,Gilgelbeles
2025-09-01,11.16,36.34,21.42,28.54,16.52,14.38,86.65,Gilgelbeles
2025-10-01,11.16,36.34,21.83,28.94,15.57,10.64,81.43,Gilgelbeles
2025-11-01,11.16,36.34,21.73,28.3,14.61,1.28,66.95,Gilgelbeles
2025-12-01,11.16,36.34,21.12,29.67,13.29,0.41,61.28,Gilgelbeles
2008-01-01,7.13,40.72,19.7,30.05,10.91,0.25,39.01,Ginnir
2008-02-01,7.13,40.72,20.26,31.02,10.05,0.01,30.68,Ginnir
2008-03-01,7.13,40.72,21.65,32.42,10.18,0.07,28.71,Ginnir
2008-04-01,7.13,40.72,20.13,30.35,14.1,4.01,68.22,Ginnir
2008-05-01,7.13,40.72,20.51,29.32,13.97,0.99,69.81,Ginnir
2008-06-01,7.13,40.72,20.41,31.56,13.71,0.89,62.7,Ginnir
2008-07-01,7.13,40.72,20.04,29.73,13.21,2.07,63.55,Ginnir
2008-08-01,7.13,40.72,19.61,27.8,12.47,4.08,68.14,Ginnir
2008-09-01,7.13,40.72,20.62,29.31,13.9,2.06,65.96,Ginnir
2008-10-01,7.13,40.72,19.37,27.77,11.33,4.94,70.87,Ginnir
2008-11-01,7.13,40.72,16.85,25.55,7.69,4.1,71.88,Ginnir
2008-12-01,7.13,40.72,17.82,28.33,8.15,0.05,52.71,Ginnir
2009-01-01,7.13,40.72,18.66,28.15,9.23,1.14,53.79,Ginnir
2009-02-01,7.13,40.72,20.35,30.22,12.38,0.27,45.85,Ginnir
2009-03-01,7.13,40.72,21.98,32.41,13.41,0.42,44.37,Ginnir
2009-04-01,7.13,40.72,20.85,30.68,13.58,2.79,71.04,Ginnir
2009-05-01,7.13,40.72,21.33,30.76,14.48,2.35,65.75,Ginnir
2009-06-01,7.13,40.72,21.23,30.7,13.78,1.51,62.51,Ginnir
2009-07-01,7.13,40.72,20.1,29.14,13.19,1.15,59.96,Ginnir
2009-08-01,7.13,40.72,20.45,28.98,13.72,1.57,59.88,Ginnir
2009-09-01,7.13,40.72,21.14,30.97,14.28,2.81,61.39,Ginnir
2009-10-01,7.13,40.72,18.7,26.95,12.52,5.03,77.14,Ginnir
2009-11-01,7.13,40.72,18.54,27.36,10.01,1.09,60.2,Ginnir
2009-12-01,7.13,40.72,19.16,27.47,11.91,1.86,63.94,Ginnir
2010-01-01,7.13,40.72,19.42,29.36,9.15,0.05,47.3,Ginnir
2010-02-01,7.13,40.72,20.77,31.14,14.79,5.08,55.1,Ginnir
2010-03-01,7.13,40.72,19.17,27.19,10.66,6.41,74.26,Ginnir
2010-04-01,7.13,40.72,19.42,26.51,13.3,8.51,82.25,Ginnir
2010-05-01,7.13,40.72,19.76,25.85,14.75,4.35,82.94,Ginnir
2010-06-01,7.13,40.72,19.13,27.38,13.06,2.35,77.58,Ginnir
2010-07-01,7.13,40.72,18.63,26.47,13.0,1.99,73.38,Ginnir
2010-08-01,7.13,40.72,18.98,28.25,13.24,4.15,72.23,Ginnir
2010-09-01,7.13,40.72,19.65,28.26,12.79,2.11,69.71,Ginnir
2010-10-01,7.13,40.72,19.45,28.48,12.66,2.24,70.13,Ginnir
2010-11-01,7.13,40.72,18.76,27.2,9.68,0.51,55.64,Ginnir
2010-12-01,7.13,40.72,18.89,29.05,8.72,0.04,41.48,Ginnir
2011-01-01,7.13,40.72,19.67,30.42,9.69,0.06,38.03,Ginnir
2011-02-01,7.13,40.72,20.99,31.25,10.52,0.07,33.35,Ginnir
2011-03-01,7.13,40.72,21.2,31.39,12.84,0.77,40.05,Ginnir
2011-04-01,7.13,40.72,21.41,31.11,14.0,5.22,60.23,Ginnir
2011-05-01,7.13,40.72,19.41,26.5,13.73,5.91,80.88,Ginnir
2011-06-01,7.13,40.72,19.82,27.64,14.32,0.68,73.05,Ginnir
2011-07-01,7.13,40.72,20.31,29.1,13.49,0.76,64.37,Ginnir
2011-08-01,7.13,40.72,20.88,30.12,13.83,0.37,58.3,Ginnir
2011-09-01,7.13,40.72,21.44,30.47,15.08,0.71,58.17,Ginnir
2011-10-01,7.13,40.72,19.71,29.17,11.63,3.05,68.23,Ginnir
2011-11-01,7.13,40.72,18.26,28.55,11.25,4.68,78.12,Ginnir
2011-12-01,7.13,40.72,17.9,28.43,7.7,0.27,55.16,Ginnir
2012-01-01,7.13,40.72,19.51,30.51,9.41,0.01,39.34,Ginnir
2012-02-01,7.13,40.72,20.7,32.03,11.6,0.02,33.15,Ginnir
2012-03-01,7.13,40.72,21.76,31.4,12.2,0.13,35.06,Ginnir
2012-04-01,7.13,40.72,19.09,27.09,12.81,11.18,79.42,Ginnir
2012-05-01,7.13,40.72,19.32,26.37,13.65,2.43,80.04,Ginnir
2012-06-01,7.13,40.72,19.87,29.1,13.35,0.54,69.15,Ginnir
2012-07-01,7.13,40.72,19.67,27.74,13.63,1.99,67.69,Ginnir
2012-08-01,7.13,40.72,19.17,27.42,13.26,9.73,73.04,Ginnir
2012-09-01,7.13,40.72,18.5,25.92,12.46,5.23,78.73,Ginnir
2012-10-01,7.13,40.72,18.41,26.15,12.42,2.34,78.03,Ginnir
2012-11-01,7.13,40.72,18.52,26.4,10.37,1.43,70.48,Ginnir
2012-12-01,7.13,40.72,18.91,27.88,10.17,0.48,58.27,Ginnir
2013-01-01,7.13,40.72,20.15,31.7,10.92,0.23,47.27,Ginnir
2013-02-01,7.13,40.72,21.32,31.84,13.05,0.02,36.99,Ginnir
2013-03-01,7.13,40.72,20.46,31.49,14.28,7.03,65.38,Ginnir
2013-04-01,7.13,40.72,19.15,25.73,14.27,8.42,86.24,Ginnir
2013-05-01,7.13,40.72,18.87,24.92,13.57,3.97,84.32,Ginnir
2013-06-01,7.13,40.72,18.14,25.15,12.83,1.47,80.41,Ginnir
2013-07-01,7.13,40.72,18.17,25.54,12.68,4.37,77.75,Ginnir
2013-08-01,7.13,40.72,18.31,25.97,11.81,3.54,75.18,Ginnir
2013-09-01,7.13,40.72,19.59,27.91,12.98,2.59,70.78,Ginnir
2013-10-01,7.13,40.72,18.56,26.54,11.06,4.32,75.6,Ginnir
2013-11-01,7.13,40.72,17.31,23.98,9.6,7.38,81.24,Ginnir
2013-12-01,7.13,40.72,17.15,26.0,8.33,0.02,58.38,Ginnir
2014-01-01,7.13,40.72,19.02,28.44,10.35,0.02,49.66,Ginnir
2014-02-01,7.13,40.72,20.76,30.1,13.38,0.55,51.01,Ginnir
2014-03-01,7.13,40.72,20.93,31.02,13.91,1.87,57.94,Ginnir
2014-04-01,7.13,40.72,19.78,29.25,14.43,6.19,75.09,Ginnir
2014-05-01,7.13,40.72,19.29,26.39,13.74,4.18,81.95,Ginnir
2014-06-01,7.13,40.72,20.05,28.19,13.66,1.07,69.26,Ginnir
2014-07-01,7.13,40.72,19.36,27.9,13.28,2.02,68.98,Ginnir
2014-08-01,7.13,40.72,20.14,29.37,13.48,1.4,64.67,Ginnir
2014-09-01,7.13,40.72,19.89,27.77,13.93,3.12,68.61,Ginnir
2014-10-01,7.13,40.72,18.4,25.23,12.4,5.93,78.43,Ginnir
2014-11-01,7.13,40.72,18.36,26.33,10.31,1.83,71.0,Ginnir
2014-12-01,7.13,40.72,17.82,28.21,8.85,1.42,53.05,Ginnir
2015-01-01,7.13,40.72,18.78,29.73,7.83,0.14,39.64,Ginnir
2015-02-01,7.13,40.72,21.32,31.24,11.69,0.35,38.21,Ginnir
2015-03-01,7.13,40.72,21.15,31.88,12.93,1.41,47.6,Ginnir
2015-04-01,7.13,40.72,20.35,29.91,13.23,3.39,70.74,Ginnir
2015-05-01,7.13,40.72,20.05,29.67,14.93,8.2,78.32,Ginnir
2015-06-01,7.13,40.72,19.46,26.84,13.41,3.68,75.57,Ginnir
2015-07-01,7.13,40.72,19.65,28.12,13.39,2.73,70.14,Ginnir
2015-08-01,7.13,40.72,19.31,27.73,12.37,4.16,69.68,Ginnir
2015-09-01,7.13,40.72,20.86,29.18,13.01,1.6,60.76,Ginnir
2015-10-01,7.13,40.72,19.68,27.88,14.56,5.27,76.67,Ginnir
2015-11-01,7.13,40.72,17.86,26.65,9.16,7.99,78.47,Ginnir
2015-12-01,7.13,40.72,18.25,26.96,8.98,2.49,66.13,Ginnir
2016-01-01,7.13,40.72,19.58,28.19,11.58,2.52,61.73,Ginnir
2016-02-01,7.13,40.72,20.39,29.93,10.28,0.25,45.05,Ginnir
2016-03-01,7.13,40.72,21.94,30.64,14.69,3.65,59.63,Ginnir
2016-04-01,7.13,40.72,19.75,28.13,14.36,12.85,82.32,Ginnir
2016-05-01,7.13,40.72,19.0,25.49,12.95,6.49,84.42,Ginnir
2016-06-01,7.13,40.72,18.59,25.27,12.96,2.47,78.92,Ginnir
2016-07-01,7.13,40.72,18.78,26.3,12.13,3.79,73.48,Ginnir
2016-08-01,7.13,40.72,18.41,26.89,11.95,3.38,72.35,Ginnir
2016-09-01,7.13,40.72,19.42,28.26,11.75,3.08,66.49,Ginnir
2016-10-01,7.13,40.72,18.95,26.66,11.15,3.98,74.47,Ginnir
2016-11-01,7.13,40.72,18.4,26.68,8.12,4.2,64.86,Ginnir
2016-12-01,7.13,40.72,17.57,27.31,8.52,1.98,56.84,Ginnir
2017-01-01,7.13,40.72,18.14,29.46,6.89,0.0,35.71,Ginnir
2017-02-01,7.13,40.72,20.46,29.78,12.03,1.05,50.75,Ginnir
2017-03-01,7.13,40.72,21.83,31.82,13.37,3.25,45.35,Ginnir
2017-04-01,7.13,40.72,20.2,29.64,14.13,7.36,70.82,Ginnir
2017-05-01,7.13,40.72,19.22,25.98,13.23,8.25,83.32,Ginnir
2017-06-01,7.13,40.72,19.35,26.88,13.57,2.76,76.1,Ginnir
2017-07-01,7.13,40.72,19.33,27.28,13.49,1.57,71.6,Ginnir
2017-08-01,7.13,40.72,19.61,27.77,13.9,5.51,69.47,Ginnir
2017-09-01,7.13,40.72,19.19,26.49,13.36,6.31,75.56,Ginnir
2017-10-01,7.13,40.72,19.29,26.45,13.46,5.72,75.69,Ginnir
2017-11-01,7.13,40.72,17.72,25.1,10.3,2.78,70.69,Ginnir
2017-12-01,7.13,40.72,17.4,27.82,7.61,0.12,46.37,Ginnir
2018-01-01,7.13,40.72,19.01,29.86,7.11,0.07,39.03,Ginnir
2018-02-01,7.13,40.72,20.29,29.62,9.51,2.04,50.67,Ginnir
2018-03-01,7.13,40.72,19.66,28.8,12.35,5.03,64.77,Ginnir
2018-04-01,7.13,40.72,18.6,25.13,14.19,16.8,85.73,Ginnir
2018-05-01,7.13,40.72,19.19,25.65,13.96,2.16,83.17,Ginnir
2018-06-01,7.13,40.72,18.69,25.68,13.11,1.2,80.6,Ginnir
2018-07-01,7.13,40.72,18.43,27.43,12.38,0.58,72.38,Ginnir
2018-08-01,7.13,40.72,19.51,29.76,13.41,3.9,67.38,Ginnir
2018-09-01,7.13,40.72,20.37,28.6,13.31,1.77,64.45,Ginnir
2018-10-01,7.13,40.72,19.49,28.33,13.67,4.22,72.99,Ginnir
2018-11-01,7.13,40.72,18.68,26.18,10.35,3.45,70.48,Ginnir
2018-12-01,7.13,40.72,18.92,27.18,10.57,0.28,57.65,Ginnir
2019-01-01,7.13,40.72,19.59,29.96,9.57,0.0,36.25,Ginnir
2019-02-01,7.13,40.72,21.65,31.76,12.9,0.07,42.73,Ginnir
2019-03-01,7.13,40.72,22.65,33.28,14.83,0.97,44.07,Ginnir
2019-04-01,7.13,40.72,21.36,30.35,15.12,4.36,67.52,Ginnir
2019-05-01,7.13,40.72,20.53,29.83,13.63,3.94,75.03,Ginnir
2019-06-01,7.13,40.72,19.88,27.55,13.42,4.03,74.99,Ginnir
2019-07-01,7.13,40.72,20.44,29.04,14.03,0.34,65.94,Ginnir
2019-08-01,7.13,40.72,19.99,28.89,12.97,3.13,65.92,Ginnir
2019-09-01,7.13,40.72,20.26,28.98,13.01,6.95,68.81,Ginnir
2019-10-01,7.13,40.72,18.31,25.19,10.89,6.53,80.43,Ginnir
2019-11-01,7.13,40.72,18.31,25.61,12.54,4.1,80.12,Ginnir
2019-12-01,7.13,40.72,18.36,26.85,10.58,2.41,71.64,Ginnir
2020-01-01,7.13,40.72,19.48,28.99,10.22,0.44,59.8,Ginnir
2020-02-01,7.13,40.72,21.24,30.67,12.67,0.84,49.92,Ginnir
2020-03-01,7.13,40.72,21.94,32.37,14.13,1.75,58.45,Ginnir
2020-04-01,7.13,40.72,20.77,30.59,15.18,13.89,73.34,Ginnir
2020-05-01,7.13,40.72,19.45,25.34,13.8,7.33,85.07,Ginnir
2020-06-01,7.13,40.72,18.77,25.29,13.61,2.61,82.03,Ginnir
2020-07-01,7.13,40.72,18.18,26.22,12.23,2.9,77.97,Ginnir
2020-08-01,7.13,40.72,18.96,26.56,12.83,3.29,76.28,Ginnir
2020-09-01,7.13,40.72,19.28,27.24,11.87,4.82,74.11,Ginnir
2020-10-01,7.13,40.72,19.31,26.49,11.06,5.0,71.48,Ginnir
2020-11-01,7.13,40.72,18.37,27.68,10.18,2.32,69.11,Ginnir
2020-12-01,7.13,40.72,18.17,27.21,8.88,8.26,58.22,Ginnir
2021-01-01,7.13,40.72,17.83,26.34,8.97,6.71,56.07,Ginnir
2021-02-01,7.13,40.72,19.83,29.43,10.67,0.75,51.36,Ginnir
2021-03-01,7.13,40.72,20.88,30.46,12.23,1.01,48.13,Ginnir
2021-04-01,7.13,40.72,20.22,29.95,13.62,7.07,70.52,Ginnir
2021-05-01,7.13,40.72,19.29,26.59,13.06,5.25,80.4,Ginnir
2021-06-01,7.13,40.72,19.42,27.58,13.21,0.86,72.81,Ginnir
2021-07-01,7.13,40.72,18.47,26.98,12.82,2.39,71.79,Ginnir
2021-08-01,7.13,40.72,19.52,28.45,11.98,4.63,68.51,Ginnir
2021-09-01,7.13,40.72,19.56,26.75,13.21,6.51,72.33,Ginnir
2021-10-01,7.13,40.72,19.14,26.88,11.31,4.92,71.52,Ginnir
2021-11-01,7.13,40.72,19.06,28.03,10.24,4.58,62.07,Ginnir
2021-12-01,7.13,40.72,17.89,26.39,7.93,3.22,63.01,Ginnir
2022-01-01,7.13,40.72,19.06,28.81,10.37,1.03,54.06,Ginnir
2022-02-01,7.13,40.72,20.93,31.02,11.29,1.83,41.71,Ginnir
2022-03-01,7.13,40.72,21.48,31.05,11.57,3.19,45.88,Ginnir
2022-04-01,7.13,40.72,19.79,27.46,14.88,14.09,75.71,Ginnir
2022-05-01,7.13,40.72,19.55,26.73,13.89,1.12,80.55,Ginnir
2022-06-01,7.13,40.72,18.87,26.23,13.19,1.85,75.24,Ginnir
2022-07-01,7.13,40.72,18.25,27.04,12.33,2.36,71.56,Ginnir
2022-08-01,7.13,40.72,18.78,27.39,12.99,2.41,71.22,Ginnir
2022-09-01,7.13,40.72,19.66,27.53,12.69,2.03,67.89,Ginnir
2022-10-01,7.13,40.72,19.09,27.14,13.04,3.85,75.62,Ginnir
2022-11-01,7.13,40.72,18.91,27.13,11.27,1.4,65.0,Ginnir
2022-12-01,7.13,40.72,18.94,28.64,10.52,2.77,55.78,Ginnir
2023-01-01,7.13,40.72,18.87,29.14,9.51,0.18,47.43,Ginnir
2023-02-01,7.13,40.72,20.51,31.13,10.35,1.14,35.54,Ginnir
2023-03-01,7.13,40.72,20.13,28.52,14.3,6.84,68.78,Ginnir
2023-04-01,7.13,40.72,19.38,26.66,14.36,11.94,80.94,Ginnir
2023-05-01,7.13,40.72,19.36,25.9,13.61,6.79,84.49,Ginnir
2023-06-01,7.13,40.72,18.89,25.1,13.44,4.79,83.34,Ginnir
2023-07-01,7.13,40.72,18.64,26.71,13.1,2.15,78.48,Ginnir
2023-08-01,7.13,40.72,19.25,28.02,12.95,3.06,71.4,Ginnir
2023-09-01,7.13,40.72,20.95,29.31,14.15,1.33,67.55,Ginnir
2023-10-01,7.13,40.72,19.67,29.53,13.76,13.21,79.53,Ginnir
2023-11-01,7.13,40.72,17.7,23.59,9.74,8.41,85.44,Ginnir
2023-12-01,7.13,40.72,17.73,25.43,10.01,0.23,73.58,Ginnir
2024-01-01,7.13,40.72,19.4,27.91,11.09,0.39,64.82,Ginnir
2024-02-01,7.13,40.72,21.16,30.48,13.14,3.84,59.19,Ginnir
2024-03-01,7.13,40.72,22.21,30.8,15.44,1.65,56.75,Ginnir
2024-04-01,7.13,40.72,21.04,29.99,15.61,6.44,78.25,Ginnir
2024-05-01,7.13,40.72,20.35,26.92,15.04,7.82,83.15,Ginnir
2024-06-01,7.13,40.72,19.85,27.84,13.54,1.49,74.41,Ginnir
2024-07-01,7.13,40.72,20.34,28.79,14.43,3.27,71.46,Ginnir
2024-08-01,7.13,40.72,19.72,28.43,13.22,5.23,73.12,Ginnir
2024-09-01,7.13,40.72,20.3,28.62,13.83,2.84,69.03,Ginnir
2024-10-01,7.13,40.72,19.48,26.99,14.71,8.79,79.08,Ginnir
2024-11-01,7.13,40.72,18.32,25.92,10.19,1.87,71.84,Ginnir
2024-12-01,7.13,40.72,18.39,27.92,9.38,0.11,49.81,Ginnir
2025-01-01,7.13,40.72,19.98,30.56,11.35,0.01,40.89,Ginnir
2025-02-01,7.13,40.72,21.48,31.69,11.97,0.1,37.74,Ginnir
2025-03-01,7.13,40.72,21.14,31.15,14.66,7.37,62.84,Ginnir
2025-04-01,7.13,40.72,19.93,28.42,14.41,4.19,76.53,Ginnir
2025-05-01,7.13,40.72,20.98,29.22,14.73,1.7,71.46,Ginnir
2025-06-01,7.13,40.72,21.42,30.43,14.26,0.7,63.14,Ginnir
2025-07-01,7.13,40.72,20.92,29.45,13.94,0.9,61.29,Ginnir
2025-08-01,7.13,40.72,20.08,28.81,13.82,4.35,66.96,Ginnir
2025-09-01,7.13,40.72,20.3,27.76,13.67,5.93,68.49,Ginnir
2025-10-01,7.13,40.72,18.53,25.23,11.63,7.86,76.14,Ginnir
2025-11-01,7.13,40.72,18.72,26.6,10.07,1.41,59.16,Ginnir
2025-12-01,7.13,40.72,19.65,28.45,11.98,1.28,60.69,Ginnir
2008-01-01,9.13,41.84,20.82,31.33,10.78,0.13,37.36,Girawa
2008-02-01,9.13,41.84,20.68,32.22,8.29,0.01,31.04,Girawa
2008-03-01,9.13,41.84,22.54,34.56,9.48,0.11,20.63,Girawa
2008-04-01,9.13,41.84,21.45,31.13,13.03,4.51,62.86,Girawa
2008-05-01,9.13,41.84,20.73,30.79,14.3,3.34,73.53,Girawa
2008-06-01,9.13,41.84,20.1,31.93,13.37,1.37,69.62,Girawa
2008-07-01,9.13,41.84,19.1,29.38,12.39,6.37,74.07,Girawa
2008-08-01,9.13,41.84,18.58,24.96,12.04,6.64,79.98,Girawa
2008-09-01,9.13,41.84,20.22,28.14,13.37,2.09,71.24,Girawa
2008-10-01,9.13,41.84,20.2,28.6,11.07,2.52,61.97,Girawa
2008-11-01,9.13,41.84,17.87,27.34,8.24,2.95,61.59,Girawa
2008-12-01,9.13,41.84,18.62,29.38,9.15,0.02,45.03,Girawa
2009-01-01,9.13,41.84,19.88,29.74,10.61,0.56,47.89,Girawa
2009-02-01,9.13,41.84,21.81,31.83,13.26,0.45,39.94,Girawa
2009-03-01,9.13,41.84,23.39,34.55,12.64,1.13,40.49,Girawa
2009-04-01,9.13,41.84,21.71,32.77,14.55,4.06,67.07,Girawa
2009-05-01,9.13,41.84,22.71,33.28,14.16,1.13,61.23,Girawa
2009-06-01,9.13,41.84,21.18,32.02,13.85,4.08,68.61,Girawa
2009-07-01,9.13,41.84,19.35,28.32,12.17,3.36,71.76,Girawa
2009-08-01,9.13,41.84,19.93,28.4,12.93,2.44,69.23,Girawa
2009-09-01,9.13,41.84,21.7,31.72,14.47,2.0,62.33,Girawa
2009-10-01,9.13,41.84,20.1,31.6,12.57,3.83,66.59,Girawa
2009-11-01,9.13,41.84,19.94,29.45,8.87,0.27,46.36,Girawa
2009-12-01,9.13,41.84,20.82,30.18,11.96,0.75,53.57,Girawa
2010-01-01,9.13,41.84,20.72,31.66,8.76,0.0,37.45,Girawa
2010-02-01,9.13,41.84,21.58,33.2,14.12,2.12,50.93,Girawa
2010-03-01,9.13,41.84,21.22,30.54,11.14,3.21,63.21,Girawa
2010-04-01,9.13,41.84,21.0,29.86,13.0,6.41,74.63,Girawa
2010-05-01,9.13,41.84,20.92,27.97,15.6,5.47,80.31,Girawa
2010-06-01,9.13,41.84,19.53,28.53,12.64,3.67,80.74,Girawa
2010-07-01,9.13,41.84,18.39,25.93,12.69,5.7,80.77,Girawa
2010-08-01,9.13,41.84,18.31,25.68,12.17,6.73,81.52,Girawa
2010-09-01,9.13,41.84,19.11,26.15,12.26,5.4,76.19,Girawa
2010-10-01,9.13,41.84,20.06,28.45,12.17,0.59,59.81,Girawa
2010-11-01,9.13,41.84,19.0,27.88,10.15,0.71,53.59,Girawa
2010-12-01,9.13,41.84,18.81,29.27,7.83,0.09,42.02,Girawa
2011-01-01,9.13,41.84,20.27,31.21,9.92,0.04,39.51,Girawa
2011-02-01,9.13,41.84,21.81,32.81,11.0,0.02,33.17,Girawa
2011-03-01,9.13,41.84,22.09,33.5,11.81,1.06,36.3,Girawa
2011-04-01,9.13,41.84,22.62,32.75,13.17,3.79,57.3,Girawa
2011-05-01,9.13,41.84,21.28,31.55,15.46,4.64,73.37,Girawa
2011-06-01,9.13,41.84,20.33,28.52,13.56,1.05,74.59,Girawa
2011-07-01,9.13,41.84,19.97,30.13,12.66,2.85,72.31,Girawa
2011-08-01,9.13,41.84,20.2,30.01,13.41,1.81,68.74,Girawa
2011-09-01,9.13,41.84,20.91,29.78,14.07,1.74,67.63,Girawa
2011-10-01,9.13,41.84,21.53,32.46,11.07,0.87,47.87,Girawa
2011-11-01,9.13,41.84,20.79,31.12,11.99,1.17,57.4,Girawa
2011-12-01,9.13,41.84,19.98,30.92,8.94,0.02,36.45,Girawa
2012-01-01,9.13,41.84,20.98,31.55,10.17,0.0,35.72,Girawa
2012-02-01,9.13,41.84,21.83,33.17,11.43,0.0,29.96,Girawa
2012-03-01,9.13,41.84,23.11,33.82,12.56,0.08,28.71,Girawa
2012-04-01,9.13,41.84,20.71,30.78,12.1,4.97,71.12,Girawa
2012-05-01,9.13,41.84,21.27,30.88,14.77,3.29,72.83,Girawa
2012-06-01,9.13,41.84,20.68,31.83,13.41,1.19,69.38,Girawa
2012-07-01,9.13,41.84,19.43,28.88,12.63,3.59,73.83,Girawa
2012-08-01,9.13,41.84,19.4,27.44,13.35,6.84,76.37,Girawa
2012-09-01,9.13,41.84,19.37,26.51,13.77,4.31,77.82,Girawa
2012-10-01,9.13,41.84,20.37,29.73,11.21,0.31,59.04,Girawa
2012-11-01,9.13,41.84,20.93,30.67,11.64,0.33,51.46,Girawa
2012-12-01,9.13,41.84,20.85,30.49,10.96,0.09,43.94,Girawa
2013-01-01,9.13,41.84,21.12,32.7,11.28,0.71,43.79,Girawa
2013-02-01,9.13,41.84,22.54,33.24,12.32,0.0,30.5,Girawa
2013-03-01,9.13,41.84,21.55,33.26,14.31,3.44,58.75,Girawa
2013-04-01,9.13,41.84,20.34,28.85,14.76,8.14,81.58,Girawa
2013-05-01,9.13,41.84,19.75,26.65,13.91,3.04,83.36,Girawa
2013-06-01,9.13,41.84,19.06,27.49,12.85,0.98,79.25,Girawa
2013-07-01,9.13,41.84,18.07,26.98,12.22,8.07,82.5,Girawa
2013-08-01,9.13,41.84,18.13,24.51,12.34,5.47,82.28,Girawa
2013-09-01,9.13,41.84,19.81,27.56,13.19,3.7,73.67,Girawa
2013-10-01,9.13,41.84,19.05,26.93,10.39,3.33,69.17,Girawa
2013-11-01,9.13,41.84,18.58,26.33,10.8,3.71,69.4,Girawa
2013-12-01,9.13,41.84,17.61,27.17,7.97,0.06,51.4,Girawa
2014-01-01,9.13,41.84,19.81,30.83,10.55,0.01,45.32,Girawa
2014-02-01,9.13,41.84,21.68,32.35,13.22,0.37,50.29,Girawa
2014-03-01,9.13,41.84,22.02,32.08,14.03,2.55,55.25,Girawa
2014-04-01,9.13,41.84,21.43,29.85,13.65,3.25,68.43,Girawa
2014-05-01,9.13,41.84,21.25,29.84,14.94,4.53,75.01,Girawa
2014-06-01,9.13,41.84,21.0,31.17,12.92,0.92,66.69,Girawa
2014-07-01,9.13,41.84,19.8,30.42,12.68,4.69,71.6,Girawa
2014-08-01,9.13,41.84,19.83,27.76,12.98,3.1,73.69,Girawa
2014-09-01,9.13,41.84,19.41,26.96,12.97,7.61,76.44,Girawa
2014-10-01,9.13,41.84,19.16,26.4,11.26,4.29,69.87,Girawa
